Barcode 	 Reads
A14C41B00D00N501	1
A14C45B00D78N502	1
A14C64B00D66N502	1
A14C77B00D52N501	1
A14C78B00D66N502	1
A14C85B00D63N502	1
A14C85B00D96N501	1
A14C90B00D94N502	1
A15C00B00D00N502	1
A15C00B39D00N502	1
A15C00B59D78N502	1
A15C00B73D39N502	1
A15C34B13D00N502	1
A15C39B00D23N502	1
A15C65B00D17N501	1
A15C66B00D25N502	1
A15C88B00D00N501	1
A15C91B00D91N501	1
A15C93B00D59N501	1
A16C00B13D00N501	1
A16C00B25D67N501	1
A16C00B26D35N502	1
A16C00B49D55N501	1
A16C00B58D40N502	1
A16C01B00D00N502	1
A16C06B42D00N502	1
A16C24B02D00N502	1
A16C26B00D67N502	1
A16C43B00D00N501	1
A16C76B00D26N501	1
A16C81B00D00N501	1
A17C00B28D11N502	1
A17C00B74D79N502	1
A17C21B00D35N501	1
A17C62B00D16N501	1
A18C00B00D00N501	1
A18C00B00D00P00	2
A18C00B00D06N502	1
A18C00B04D81N502	1
A18C00B36D41N501	1
A18C00B48D62N502	1
A18C00B83D64N501	1
A18C00B93D53N502	1
A18C10B00D00N502	1
A18C19B27D00N502	1
A18C35B00D00N502	1
A18C45B92D00N502	1
A18C62B00D17N502	1
A18C64B00D28N501	1
A18C75B00D00N502	1
A19C00B00D00N501	1
A19C00B00D45N501	1
A19C00B25D49N501	1
A19C00B35D22N502	1
A19C00B39D93N502	1
A19C00B42D90N502	1
A19C00B49D20N501	1
A19C00B49D22N502	1
A19C00B59D00N502	1
A19C00B60D90N501	1
A19C00B77D65N502	1
A19C03B00D00N502	1
A19C15B00D00N502	1
A19C17B18D00N502	1
A19C19B00D29N501	1
A19C22B66D00N501	1
A19C62B00D40N501	1
A19C62B85D00N502	1
A19C64B00D00N502	1
A19C64B00D42N502	1
A19C70B19D00N502	1
A19C95B00D00N501	1
A20C00B00D00N502	1
A20C00B46D24N502	1
A20C00B81D68N502	1
A20C00B85D87N502	1
A20C00B95D27N502	1
A20C00B96D00N502	1
A20C23B00D00N502	1
A20C29B00D00N502	1
A20C35B00D00N502	1
A20C49B71D00N502	1
A20C70B00D88N501	1
A20C77B00D00N501	1
A20C93B00D38N502	1
A21C00B00D00N502	1
A21C00B00D30N502	1
A21C00B18D34N501	1
A21C00B31D00N501	1
A21C00B54D87N501	1
A21C00B69D79N502	1
A21C00B72D75N502	1
A21C00B93D37N502	1
A21C02B00D43N502	1
A21C11B66D00N502	1
A21C26B00D00P999	1
A21C38B00D27N501	1
A21C43B00D00N502	1
A21C59B00D74N502	1
A21C67B82D00N502	1
A21C84B00D43N502	1
A22C00B00D65N501	1
A22C14B00D87N502	1
A22C18B04D00N502	1
A22C19B00D00N502	1
A22C22B00D06N502	1
A22C28B00D81N502	1
A22C80B00D05N502	1
A22C86B52D00N502	1
A23C00B13D00N502	1
A23C00B16D56N502	1
A23C00B23D83N502	1
A23C00B28D13N501	1
A23C00B44D14N502	1
A23C00B52D39N502	1
A23C20B00D00N502	1
A23C25B00D00N501	1
A23C28B00D54N502	1
A23C31B00D50N502	1
A23C57B00D00N502	1
A24C00B00D00N502	1
A24C00B30D29N502	1
A24C00B66D29N501	1
A24C00B94D55N502	1
A24C06B00D50N502	1
A24C11B00D00N502	1
A24C19B42D00N501	1
A24C22B00D00N501	1
A24C22B00D29N502	1
A24C37B47D00N502	1
A24C57B00D80N501	1
A24C59B00D64N502	1
A24C65B00D00N502	1
A24C71B00D00N501	1
A24C77B66D00N502	1
A25C00B00D00N501	1
A25C00B00D00N502	2
A25C00B00D43N502	1
A25C00B93D34N501	1
A25C18B00D43N501	1
A25C19B00D53N502	1
A25C52B00D00N501	1
A25C79B00D16N501	1
A26C00B00D00N502	1
A26C00B47D52N502	1
A26C00B80D54N501	1
A26C12B00D60N501	1
A26C26B00D00N502	1
A26C45B00D94N501	1
A26C56B13D00N502	1
A26C62B00D24N502	1
A27C00B00D00N501	1
A27C00B67D83N501	1
A27C00B73D83N501	1
A27C28B16D00N502	1
A27C44B00D00N502	1
A27C57B00D00N502	1
A28C00B00D00N502	3
A28C00B02D21N502	1
A28C00B10D84N502	1
A28C00B31D32N502	1
A28C11B23D00N502	1
A28C33B00D00N502	1
A28C34B00D00N502	1
A28C68B63D00N501	1
A28C70B00D00N502	1
A28C88B00D68N502	1
A29C00B28D40N502	1
A29C00B33D00N502	1
A29C00B41D57N501	1
A29C00B46D77N502	1
A29C00B63D00N501	1
A29C00B72D57N502	1
A29C19B00D05N501	1
A29C38B00D00N501	1
A29C57B00D79N502	1
A29C66B00D00N502	1
A29C71B00D00N502	1
A29C77B00D40N502	1
A29C89B00D00N501	1
A30C00B00D00N502	1
A30C00B04D55N502	1
A30C00B28D55N502	1
A30C00B38D12N502	1
A30C00B46D29N502	1
A30C00B48D29N502	1
A30C00B58D73N502	1
A30C00B61D22N502	1
A30C00B92D63N502	1
A30C07B00D00N502	1
A30C11B00D95N502	1
A30C37B00D00N502	1
A30C38B60D00N502	1
A30C76B00D00N501	1
A31C00B00D00N502	2
A31C00B18D72N501	1
A31C00B25D19N502	1
A31C00B62D70N502	1
A31C00B76D36N502	1
A31C00B79D20N502	1
A31C25B00D59N502	1
A31C38B00D76N501	1
A31C70B00D09N502	1
A31C74B00D00N502	1
A31C90B00D00N501	1
A31C91B00D00N501	1
A31C94B00D00N501	1
A32C00B00D00N502	2
A32C00B30D26N501	1
A32C33B02D00N502	1
A32C60B00D90N502	1
A32C69B00D00N502	1
A32C74B00D30N502	1
A32C94B00D00N502	1
A33C00B00D00N501	2
A33C00B00D00N502	3
A33C00B00D05N501	1
A33C00B00D43P00	1
A33C00B00D61N502	1
A33C00B00D63N501	1
A33C00B00D66N502	1
A33C00B05D00N502	1
A33C00B12D96N501	1
A33C00B42D00N502	1
A33C00B49D00N502	1
A33C00B50D37P999	1
A33C00B77D96N501	1
A33C00B80D27N502	1
A33C00B80D31N502	1
A33C05B00D14N502	1
A33C07B00D07N502	1
A33C14B00D00N502	1
A33C14B32D00N501	1
A33C14B33D00N501	1
A33C18B00D14N501	1
A33C36B00D00N502	1
A33C42B23D00N502	1
A33C86B00D69N502	1
A34C00B26D55N502	1
A34C00B38D88N502	1
A34C54B00D61P999	1
A34C62B09D00N501	1
A34C83B00D50N502	1
A35C00B00D00N502	1
A35C00B04D00N502	1
A35C00B05D16N502	1
A35C00B52D46N502	1
A35C02B00D00N502	1
A35C27B42D00N502	1
A35C28B00D16N502	1
A35C41B00D74N502	1
A35C45B60D00N502	1
A35C51B00D08N501	1
A35C55B00D00N502	1
A35C85B07D00N502	1
A35C92B00D29N502	1
A36C27B60D00P999	1
A36C31B00D93N502	1
A36C37B02D00N501	1
A36C42B00D00N502	1
A36C67B00D19N502	1
A36C73B10D00N502	1
A37C00B00D00N501	1
A37C00B24D00N502	1
A37C00B74D23N501	1
A37C00B90D70N502	1
A37C00B96D38N502	1
A37C02B00D79N502	1
A37C22B00D57N501	1
A37C27B00D37N502	1
A37C39B00D04N502	1
A37C45B00D00N502	1
A37C51B00D80N501	1
A37C53B07D00N501	1
A37C66B17D00N501	1
A37C85B39D00N502	1
A37C87B00D01N501	1
A37C93B00D30N502	1
A38C00B12D62N501	1
A38C00B94D00N502	1
A38C13B00D70N502	1
A38C30B09D00N501	1
A38C44B00D89N501	1
A38C54B09D00N502	1
A38C93B00D00N502	1
A39C00B00D00N502	1
A39C00B16D46N502	1
A39C00B45D57N501	1
A39C29B00D00N501	1
A39C45B00D55N502	1
A39C45B42D00N501	1
A39C54B00D00N502	1
A39C54B00D34N502	1
A39C61B00D00N501	1
A39C67B00D96N501	1
A39C68B00D00N502	1
A39C84B00D20N502	1
A40C17B13D00N502	1
A40C19B00D90N501	1
A40C26B00D08N502	1
A40C45B00D70N501	1
A40C59B00D96N502	1
A40C66B00D00N502	1
A41C14B00D91N501	1
A41C45B00D00N502	1
A41C56B00D52N502	1
A41C74B00D67N502	1
A42C00B00D00N502	1
A42C00B04D22N502	1
A42C00B05D76N501	1
A42C00B20D22N502	1
A42C00B40D15N502	1
A42C00B45D83N501	1
A42C00B69D37N501	1
A42C13B00D84N502	1
A42C30B46D00N502	1
A42C58B00D00N501	1
A42C62B73D00N502	1
A42C63B29D00N502	1
A42C74B00D00N502	1
A43C00B00D00P00	1
A43C00B36D23N501	1
A43C00B64D00N502	1
A43C03B00D88N502	1
A43C11B00D93N502	1
A43C26B00D80N501	1
A43C30B00D77N502	1
A43C36B00D66N502	1
A43C48B00D50N502	1
A43C48B41D00N502	1
A43C53B00D84N501	1
A43C78B00D00N502	1
A44C00B00D60N501	1
A44C00B02D67N502	1
A44C00B10D43N502	1
A44C00B27D01N502	1
A44C00B47D36N502	1
A44C00B66D06N502	1
A44C22B00D00N502	1
A44C33B00D29N502	1
A45C10B00D65N502	1
A45C17B00D29N502	1
A45C22B00D54N502	1
A45C24B00D66N502	1
A45C40B00D00N502	1
A45C40B67D00N502	1
A45C49B41D00N502	1
A45C62B00D00P999	1
A45C62B00D67N502	1
A45C62B26D00P00	1
A45C70B00D31N502	1
A45C89B00D25N501	1
A46C00B26D87N501	1
A46C00B31D88N502	1
A46C00B53D35N502	1
A46C00B57D00P00	1
A46C00B88D30N502	1
A46C12B00D27N502	1
A46C12B00D45N502	1
A46C15B00D31N502	1
A46C19B87D00N502	1
A46C21B70D00N501	1
A46C22B58D00N502	1
A46C36B94D00N502	1
A46C45B00D00N502	1
A46C60B00D00N502	1
A46C60B37D00N501	1
A46C87B00D26N502	1
A46C95B00D88N501	1
A47C00B03D36N502	1
A47C00B21D93N501	1
A47C00B32D55N502	1
A47C00B49D71N501	1
A47C00B79D52N502	1
A47C02B00D19N502	1
A47C29B17D00N502	1
A47C48B00D44N502	1
A47C59B33D00N502	1
A47C78B00D15N501	1
A48C00B04D77N501	1
A48C00B20D32N502	1
A48C00B89D76N501	1
A48C00B95D88N501	1
A48C00B96D49N502	1
A48C05B00D00N502	1
A48C06B10D00N502	1
A48C17B00D55N502	1
A48C26B00D00N502	1
A48C28B00D00N502	1
A48C29B71D00N502	1
A48C40B00D27N502	1
A48C41B00D51N502	1
A48C44B00D66N502	1
A48C48B00D76N501	1
A48C50B00D62N502	1
A48C53B00D00N501	1
A48C54B00D42N502	1
A48C62B00D00N501	1
A48C64B00D00N502	1
A48C70B00D56N502	1
A48C79B00D41N502	1
A48C92B00D64N502	1
A48C93B00D00N502	1
A49C00B00D87N501	1
A49C00B11D39N502	1
A49C00B31D09N502	1
A49C00B35D50N501	1
A49C00B47D08N502	1
A49C00B59D38N502	1
A49C00B93D22N501	1
A49C22B00D60N501	1
A50C00B09D18N502	1
A50C00B75D10N502	1
A50C00B75D69N501	1
A50C27B00D01N502	1
A50C28B56D00N502	1
A50C59B00D88N502	1
A51C00B00D37N502	1
A51C00B09D15N501	1
A51C00B20D11N501	1
A51C00B33D29N502	1
A51C10B86D00N501	1
A51C22B07D00N502	1
A51C61B33D00N501	1
A51C77B00D36N502	1
A52C00B00D00N502	1
A52C00B32D25P999	1
A52C10B00D70N502	1
A52C33B00D78N502	1
A52C51B03D00N502	1
A52C65B00D00N501	1
A52C65B50D00N502	1
A52C77B00D32N502	1
A53C00B45D45N502	1
A53C00B54D58N501	1
A53C02B82D00N502	1
A53C22B00D00N502	1
A53C59B00D23N502	1
A53C64B00D71N502	1
A53C71B00D09N502	1
A53C89B00D00N502	1
A54C00B00D00N502	1
A54C01B00D00N502	1
A54C07B00D21N502	1
A54C22B00D39N502	1
A54C25B00D92N501	1
A54C50B00D00N502	1
A54C53B00D88N502	1
A54C69B00D00N502	1
A54C69B00D19N502	1
A54C83B32D00N502	1
A54C95B00D00N501	1
A55C00B06D25N501	1
A55C00B11D94N501	1
A55C00B48D24N502	1
A55C10B28D00N502	1
A55C22B32D00N502	1
A55C38B00D07N502	1
A55C50B00D00N501	1
A55C59B00D00N502	1
A55C70B00D35N502	1
A56C00B00D00N502	1
A56C00B00D09N502	1
A56C00B23D69N501	1
A56C00B75D01N502	1
A56C00B91D08N501	1
A56C15B60D00N502	1
A56C19B00D55N502	1
A56C22B00D78N502	1
A56C45B00D16N501	1
A56C61B22D00N502	1
A56C90B00D05N501	1
A56C94B00D10N502	1
A57C00B00D00N501	1
A57C00B00D38P00	1
A57C00B13D65N502	1
A57C00B51D16N502	1
A57C00B72D59N502	1
A57C00B84D24N502	1
A57C00B93D67N502	1
A57C14B00D63N502	1
A57C26B73D00P00	1
A57C30B00D00N502	1
A57C34B00D00N502	1
A57C35B60D00N502	1
A57C38B00D00N502	1
A57C50B00D00N501	1
A57C70B00D73N501	1
A57C79B00D61N502	1
A57C90B00D85N502	1
A57C94B00D76N502	1
A58C00B18D53N501	1
A58C00B83D53N502	1
A58C45B13D00N502	1
A58C80B34D00N501	1
A58C92B00D00N501	1
A59C00B04D04N502	1
A59C00B29D49N502	1
A59C00B44D91N502	1
A59C11B00D02N502	1
A59C15B00D61N502	1
A59C57B00D00N502	1
A59C69B00D00N502	1
A59C75B00D35N502	1
A60C00B00D00N502	1
A60C00B00D35N502	1
A60C00B02D67N501	1
A60C00B40D01N501	1
A60C03B00D00N502	1
A60C05B00D87N502	1
A60C12B00D50N502	1
A60C21B35D00N502	1
A61C00B00D00N502	1
A61C00B28D82N501	1
A61C00B47D00N501	1
A61C00B61D29N501	1
A61C00B86D11N501	1
A61C43B00D66N502	1
A61C65B00D00N501	1
A61C68B00D00N502	1
A62C00B00D00N501	2
A62C00B00D00N502	1
A62C00B00D12N502	1
A62C00B33D23N502	1
A62C00B39D00N501	1
A62C20B00D00N501	1
A62C37B00D96N502	1
A62C40B08D00N502	1
A62C48B00D00N501	1
A62C50B00D00N502	1
A62C58B37D00N501	1
A62C74B00D26N502	1
A62C80B82D00N501	1
A62C85B00D68N501	1
A63C00B00D00N501	1
A63C00B75D24N502	1
A63C10B00D00N502	1
A63C12B13D00N502	1
A63C21B00D41N501	1
A63C27B00D04N502	1
A63C30B00D00N501	1
A63C58B00D00N501	1
A63C68B00D00N501	1
A64C00B02D00N502	1
A64C00B22D57N502	1
A64C00B92D24P00	1
A64C11B00D00N502	1
A64C12B00D00N502	1
A64C22B06D00N502	1
A64C27B00D08N502	1
A64C48B00D00N502	1
A64C49B00D00N502	1
A64C51B58D00N502	1
A64C70B00D00N502	1
A64C74B00D00N502	1
A65C00B00D00N502	1
A65C00B00D60N501	1
A65C00B27D00N502	1
A65C00B82D34N501	1
A65C14B00D00N502	1
A65C17B00D03N502	1
A65C19B00D03N502	1
A65C21B00D00N501	1
A65C29B00D70N502	1
A65C47B39D00N501	1
A65C48B00D00N501	1
A65C57B00D00N502	1
A65C65B00D15N501	1
A65C66B67D00N502	1
A65C70B00D01N502	1
A65C86B04D00N502	1
A66C00B26D79N502	1
A66C00B73D69N502	1
A66C01B00D06N501	1
A66C09B31D00N501	1
A66C11B00D01N502	1
A66C25B00D00N502	1
A66C53B00D71N501	1
A66C54B00D00N501	1
A67C03B55D00N501	1
A67C22B00D93N501	1
A67C31B00D00N502	1
A67C45B51D00N502	1
A67C62B09D00N502	1
A67C69B00D09N502	1
A68C00B00D93N501	1
A68C16B00D21N502	1
A68C34B00D56N501	1
A68C37B00D74N502	1
A68C38B60D00N501	1
A68C78B00D00N502	1
A68C79B00D00N501	1
A68C80B00D00N501	1
A68C85B84D00N501	1
A69C00B75D64N502	1
A69C06B00D00N501	1
A69C10B59D00N501	1
A69C26B63D00N502	1
A69C27B00D83N502	1
A69C40B00D00N502	1
A69C68B00D00N502	1
A70C00B00D00N502	1
A70C00B34D23N502	1
A70C00B95D68N501	1
A70C11B00D80N502	1
A70C22B00D19N501	1
A70C26B00D76N502	1
A70C59B00D55N502	1
A70C65B00D28N501	1
A70C73B00D00N502	1
A70C74B00D41N502	1
A70C85B00D34N501	1
A71C00B00D00N502	1
A71C00B28D08N502	1
A71C00B43D63N502	1
A71C00B72D39N502	1
A71C28B00D38N502	1
A71C54B00D00N501	1
A71C80B00D37N501	1
A71C82B00D00N502	1
A72C00B25D57N502	1
A72C00B35D70N501	1
A72C00B65D33N502	1
A72C03B00D00N501	1
A72C06B00D23N502	1
A72C10B00D73N501	1
A72C10B23D00N502	1
A72C20B00D83N502	1
A72C27B00D06N502	1
A72C37B00D00N501	1
A72C60B15D00N501	1
A72C65B41D00N502	1
A72C67B00D84N502	1
A72C77B00D70N502	1
A72C78B00D10N501	1
A72C87B00D43N502	1
A73C00B06D00N501	1
A73C10B00D00N501	1
A73C22B66D00N502	1
A73C30B00D76N502	1
A73C70B00D26N501	1
A73C76B00D20N502	1
A73C85B00D00N502	1
A74C00B00D00N502	1
A74C00B91D92N502	1
A74C10B00D00N501	1
A74C41B00D00N502	1
A74C47B00D66N502	1
A74C49B00D70N501	1
A74C58B32D00N502	1
A74C73B00D70N502	1
A75C00B01D65N501	1
A75C00B07D37N502	1
A75C00B37D51N502	1
A75C00B42D71N502	1
A75C19B00D00N502	1
A75C64B00D00N502	1
A75C77B00D31N501	1
A75C94B00D57N501	1
A76C00B49D22N502	1
A76C03B36D00N502	1
A76C07B00D24N502	1
A76C28B00D68N501	1
A76C50B00D00N502	1
A76C58B00D20N502	1
A76C68B00D00N502	1
A76C74B00D69N502	1
A76C74B13D00N502	1
A76C90B00D53N502	1
A77C00B91D08N502	1
A77C10B00D89N501	1
A77C12B00D88N502	1
A77C22B00D00N501	1
A77C33B68D00N502	1
A77C44B66D00N502	1
A77C54B00D84N501	1
A77C59B00D24N502	1
A77C67B00D00N501	1
A77C69B00D88N502	1
A78C00B85D06N502	1
A78C10B00D47N502	1
A78C22B05D00N501	1
A78C37B82D00N502	1
A78C38B00D00N501	1
A78C45B00D24N502	1
A78C62B40D00N501	1
A78C76B00D93N502	1
A78C79B24D00N501	1
A79C16B30D00N502	1
A79C61B00D00N502	1
A79C78B00D16N502	1
A80C00B86D07N502	1
A80C00B90D49N502	1
A80C00B91D62N502	1
A80C05B00D45N501	1
A80C21B00D04N501	1
A80C27B62D00N502	1
A80C44B00D28N502	1
A80C70B00D79N502	1
A80C75B00D00N502	1
A80C79B00D61N502	1
A80C90B00D00N502	1
A81C10B13D00N502	1
A81C33B00D00N501	1
A82C00B00D00N502	1
A82C12B00D14N502	1
A82C31B67D00N501	1
A82C34B29D00N502	1
A82C64B00D40N502	1
A82C65B00D50N501	1
A82C65B41D00N501	1
A82C80B00D08N501	1
A82C83B63D00N502	1
A83C00B32D03N502	1
A83C00B85D62N502	1
A83C45B00D78N502	1
A84C00B01D33N501	1
A84C00B19D82N502	1
A84C02B00D00N502	1
A84C22B00D00N502	1
A84C26B00D00N502	1
A84C26B00D28N502	1
A84C28B00D87P999	1
A84C29B00D19N501	1
A84C36B59D00N502	1
A84C40B00D07N501	1
A84C62B00D90N501	1
A84C80B00D00N502	1
A84C80B32D00N501	1
A84C84B00D00N502	1
A84C91B00D33N501	1
A84C95B00D00N502	1
A85C00B00D00N502	1
A85C00B02D00N502	1
A85C00B04D00N502	1
A85C00B48D13N502	1
A85C22B00D26N502	1
A85C36B96D00N502	1
A85C48B00D79N502	1
A86C00B00D21N502	1
A86C00B15D56N502	1
A86C00B48D00N501	1
A86C00B65D27N502	1
A86C22B35D00N502	1
A86C31B00D00N502	1
A86C34B88D00N502	1
A86C41B00D50N502	1
A86C41B54D00N502	1
A86C53B00D78N501	1
A86C68B61D00N502	1
A87C00B64D63N502	1
A87C06B00D96N501	1
A87C22B00D00N502	1
A87C35B00D66N502	1
A87C51B00D68N501	1
A87C79B00D60N502	1
A87C84B00D08N502	1
A87C93B00D50N502	1
A88C00B00D53P00	1
A88C00B63D84N502	1
A88C00B75D60N501	1
A88C27B00D41N502	1
A88C49B00D59N502	1
A88C56B00D00N502	1
A88C59B00D32N502	1
A88C65B00D28N501	1
A88C69B00D00N501	1
A88C71B00D00N501	1
A88C75B00D25N502	1
A88C76B00D67N502	2
A88C77B00D34N502	1
A88C81B00D16N501	1
A89C00B00D07P00	1
A89C00B00D87N502	1
A89C00B43D72N501	1
A89C00B55D19N502	1
A89C00B61D25N502	1
A89C04B00D52N501	1
A89C19B00D44N502	1
A89C33B00D49N502	1
A89C41B89D00N502	1
A89C43B00D01N502	1
A89C66B00D00N501	1
A89C67B00D26N502	1
A89C74B00D94N502	1
A89C79B00D16N501	1
A89C80B00D00N501	2
A89C90B00D00N501	1
A90C00B00D00N502	1
A90C22B00D00N502	1
A90C31B28D00N502	1
A90C31B29D00N502	1
A90C50B13D00N502	1
A91C00B21D57N502	1
A91C00B61D77N501	1
A91C16B00D00N502	1
A91C22B00D22N502	1
A91C34B00D51N502	1
A91C51B00D36N502	1
A92C00B07D28N501	1
A92C00B17D48N502	1
A92C00B19D71N502	1
A92C00B37D32N501	1
A92C00B93D87N502	1
A92C19B00D24N501	1
A92C58B74D00N501	1
A92C69B55D00N502	1
A92C74B00D93N501	1
A92C76B00D00N501	1
A93C00B00D00N502	1
A93C12B32D00N501	1
A93C14B03D00N502	1
A93C26B00D00N502	1
A93C50B00D00N501	1
A93C54B00D10N501	1
A94C50B00D27N502	1
A94C53B39D00N501	1
A94C71B13D00N501	1
A94C89B00D00N501	1
A95C00B00D27N502	1
A95C00B70D82N501	1
A95C10B00D82N502	1
A95C38B18D00N502	1
A95C70B00D07N502	1
A95C75B00D00N502	1
A95C96B00D12N502	1
A96C00B04D19N501	1
A96C00B10D47N502	1
A96C02B11D00N502	1
A96C37B22D00N501	1
