Barcode 	 Reads
A00C00B32D87N501	1
A00C00B33D00N502	1
A00C00B33D06N502	1
A00C00B33D11N502	1
A00C00B33D43N501	1
A00C00B34D35N501	1
A00C00B34D46N501	1
A00C00B34D48N502	1
A00C00B34D51N502	1
A00C00B34D60N502	1
A00C00B35D12N502	1
A00C00B35D17N501	1
A00C00B35D35N501	1
A00C00B35D45P999	1
A00C00B35D57N502	1
A00C00B36D00N501	1
A00C00B36D32N502	1
A00C00B36D34P00	1
A00C00B36D35N502	1
A00C00B36D36P999	1
A00C00B36D50N502	1
A00C00B36D57N501	1
A00C00B36D80P00	1
A00C00B36D88N501	1
A00C00B36D92N502	1
A00C00B37D00N501	1
A00C00B37D00N502	1
A00C00B37D06P00	1
A00C00B37D08P999	1
A00C00B37D14N501	2
A00C00B37D20N501	1
A00C00B37D29N502	1
A00C00B37D33N501	1
A00C00B37D50N501	1
A00C00B37D52N502	1
A00C00B37D68N502	1
A00C00B37D71N502	1
A00C00B37D76N501	1
A00C00B38D57N502	1
A00C00B39D00N501	1
A00C00B39D01N501	1
A00C00B39D09N501	2
A00C00B39D16N501	1
A00C00B39D25N501	1
A00C00B39D32N502	1
A00C00B39D38N502	1
A00C00B39D39P999	1
A00C00B39D66N502	1
A00C00B39D83N502	1
A00C00B40D15N502	1
A00C00B40D38N501	1
A00C00B40D50N502	1
A00C00B41D01N502	1
A00C00B41D16N502	1
A00C00B41D42N502	1
A00C00B41D45P999	1
A00C00B41D56N502	1
A00C00B41D75P999	1
A00C00B42D05N502	1
A00C00B42D33N501	1
A00C00B42D46N502	1
A00C00B42D50N502	1
A00C00B42D60N501	1
A00C00B42D73N501	1
A00C00B42D92N501	1
A00C00B42D93P999	1
A00C00B43D01N502	2
A00C00B43D19P999	1
A00C00B43D28N501	1
A00C00B43D51P00	1
A00C00B43D74N501	1
A00C00B44D38N502	1
A00C00B44D46N502	1
A00C00B45D09N502	1
A00C00B45D17N502	1
A00C00B45D40N502	1
A00C00B45D56N502	1
A00C00B45D63N502	1
A00C00B45D75N502	1
A00C00B45D77N501	1
A00C00B45D87N502	1
A00C00B45D89N502	1
A00C00B45D92N502	1
A00C00B46D01N502	1
A00C00B46D08N502	1
A00C00B46D43N501	1
A00C00B46D51N501	1
A00C00B46D53N502	1
A00C00B46D62N502	1
A00C00B47D00N501	1
A00C00B47D04N502	1
A00C00B47D24N501	1
A00C00B47D43N502	1
A00C00B47D47N501	1
A00C00B47D67N502	1
A00C00B47D75P999	1
A00C00B47D79N501	1
A00C00B47D91N501	1
A00C00B48D00N502	1
A00C00B48D07N502	1
A00C00B48D17N501	1
A00C00B48D52N501	1
A00C00B48D65N502	1
A00C00B48D66N501	1
A00C00B48D69N501	1
A00C00B48D79N502	1
A00C00B48D82P00	1
A00C00B48D83N502	1
A00C00B49D14N501	1
A00C00B49D25N501	1
A00C00B49D31P999	1
A00C00B49D34N502	1
A00C00B49D42N501	1
A00C00B49D79N501	1
A00C00B49D83N501	1
A00C00B49D87N501	1
A00C00B50D13N501	1
A00C00B50D30N501	1
A00C00B50D48N501	1
