Barcode 	 Correct reads 	 Corrected reads
A01C81B48D95N502	1	0
A01C81B57D36N502	1	0
A01C81B65D65N502	0	1
A01C81B68D69N501	1	0
A01C82B42D66N502	1	0
A01C83B54D22N501	0	1
A01C84B07D37N502	1	0
A01C84B32D26N501	1	0
A01C84B36D84N502	1	0
A01C84B48D61N501	1	0
A01C84B60D06N502	0	1
A01C84B84D62N502	1	0
A01C84B95D13N501	1	0
A01C85B91D81N502	1	0
A01C87B10D91N502	1	0
A01C87B54D20N502	1	0
A01C88B52D26N502	1	0
A01C88B75D28N502	1	0
A01C91B37D31N502	1	0
A01C92B07D93N502	1	0
A01C93B02D52N502	1	0
A01C93B50D80N501	1	0
A01C93B54D02N502	1	0
A01C94B23D62N501	1	0
A01C94B74D58N502	1	0
A01C96B35D55N501	1	0
A02C01B26D03N502	1	0
A02C01B80D33N502	1	0
A02C01B91D90N502	1	0
A02C02B18D26N502	1	0
A02C02B34D40N502	1	0
A02C02B46D94N502	1	0
A02C02B55D09P999	1	0
A02C02B58D37N502	1	0
A02C03B45D71N502	1	0
A02C03B51D27N502	1	0
A02C03B63D64N502	1	0
A02C03B93D76N501	1	0
A02C05B50D10N502	1	0
A02C05B63D70N502	1	0
A02C05B83D06N502	1	0
A02C05B87D63N502	0	1
A02C06B37D80N502	1	0
A02C06B66D69N502	1	0
A02C07B33D80N501	1	0
A02C07B89D90N502	1	0
A02C10B23D54N502	1	0
A02C10B29D57N501	1	0
A02C10B39D71N502	1	0
A02C10B58D69N502	1	0
A02C10B64D02N502	1	0
A02C10B81D89N502	1	0
A02C10B89D28N502	1	0
A02C11B52D34N502	1	0
A02C11B64D14N502	1	0
A02C12B21D89N502	1	0
A02C12B82D84N501	1	0
A02C12B86D57N502	0	1
A02C13B17D25N501	1	0
A02C13B22D75N501	1	0
A02C13B27D14N502	1	0
A02C14B18D33N502	1	0
A02C14B49D05N502	1	0
A02C14B49D34N502	1	0
A02C14B61D15N502	1	0
A02C15B47D63N502	1	0
A02C15B50D95N502	1	0
A02C16B34D80N502	1	0
A02C17B06D27N502	1	0
A02C17B37D81N502	1	0
A02C17B55D10N501	0	1
A02C18B83D58N502	1	0
A02C18B88D15N502	1	0
A02C19B10D57N501	1	0
A02C19B11D52N502	0	1
A02C19B23D39N502	1	0
A02C19B51D05N502	1	0
A02C20B74D61N501	0	1
A02C21B03D59N501	1	0
A02C21B39D82N501	1	0
A02C21B58D60N502	1	0
A02C22B06D05N502	1	0
A02C22B07D76N502	1	0
A02C22B23D09N501	1	0
A02C22B28D17N501	1	0
A02C22B38D02N501	1	0
A02C22B45D70N501	1	0
A02C22B96D58N501	1	0
A02C22B96D96N501	1	0
A02C23B06D18N502	0	1
A02C23B10D29N502	1	0
A02C23B21D89N501	1	0
A02C23B58D15N501	1	0
A02C25B25D64N502	1	0
A02C25B59D15N502	0	1
A02C25B63D96N502	1	0
A02C26B26D96N501	1	0
A02C26B55D44N501	2	0
A02C26B56D01N502	1	0
A02C26B63D30N502	0	1
A02C27B62D79N502	1	0
A02C28B61D64N502	1	0
A02C28B63D62N502	1	0
A02C28B67D57N502	1	0
A02C29B09D65N502	1	0
A02C29B45D26N502	1	0
A02C29B61D45N502	1	0
A02C29B66D16N502	1	0
A02C29B70D95N501	1	0
A02C30B08D03N501	1	0
A02C30B41D08N502	2	0
A02C30B49D27P999	1	0
A02C31B05D94N502	1	0
A02C31B33D91N502	1	0
A02C31B43D43N502	1	0
A02C31B54D60N502	1	0
A02C31B56D89P00	1	0
A02C33B10D75N502	1	0
A02C34B46D83N501	1	0
A02C34B65D64N501	1	0
A02C34B73D37N502	1	0
A02C36B48D05N501	1	0
A02C36B49D03N502	1	0
A02C36B63D68N502	1	0
